iso_code,continent,location,year,total_cases,total_deaths,total_vaccinations
ABW,North America,Aruba,2020,571837.0,4828.0,0.0
ABW,North America,Aruba,2021,4361299.0,42994.0,28180278.0
ABW,North America,Aruba,2022,10111157.0,58285.0,32175180.0
AFG,Asia,Afghanistan,2020,8501751.0,296447.0,0.0
AFG,Asia,Afghanistan,2021,39518380.0,1778958.0,29225124.0
AFG,Asia,Afghanistan,2022,48992178.0,2090079.0,324222895.0
AGO,Africa,Angola,2020,1343410.0,36818.0,0.0
AGO,Africa,Angola,2021,14797145.0,368673.0,180255428.0
AGO,Africa,Angola,2022,27179226.0,518315.0,477037680.0
AIA,North America,Anguilla,2020,1058.0,0.0,0.0
AIA,North America,Anguilla,2021,131208.0,248.0,476291.0
AIA,North America,Anguilla,2022,829038.0,2504.0,593415.0
ALB,Europe,Albania,2020,3727544.0,88375.0,0.0
ALB,Europe,Albania,2021,51106141.0,871276.0,240731562.0
ALB,Europe,Albania,2022,77355883.0,950620.0,112060081.0
AND,Europe,Andorra,2020,682822.0,15492.0,0.0
AND,Europe,Andorra,2021,5084330.0,44641.0,1584366.0
AND,Europe,Andorra,2022,11214420.0,41390.0,2855030.0
ARE,Asia,United Arab Emirates,2020,22253522.0,99619.0,0.0
ARE,Asia,United Arab Emirates,2021,213007666.0,623527.0,4147626287.0
ARE,Asia,United Arab Emirates,2022,251219953.0,627904.0,1520029343.0
ARG,South America,Argentina,2020,148336421.0,3802826.0,104477.0
ARG,South America,Argentina,2021,1440211060.0,31681182.0,10752752627.0
ARG,South America,Argentina,2022,2458774599.0,34726468.0,27264616318.0
ARM,Asia,Armenia,2020,14553077.0,248551.0,0.0
ARM,Asia,Armenia,2021,86241517.0,1738064.0,16136417.0
ARM,Asia,Armenia,2022,113385170.0,2324876.0,29544217.0
ATG,North America,Antigua and Barbuda,2020,22902.0,864.0,0.0
ATG,North America,Antigua and Barbuda,2021,689438.0,18632.0,5849886.0
ATG,North America,Antigua and Barbuda,2022,2141043.0,37435.0,1632902.0
AUS,Oceania,Australia,2020,5091224.0,132944.0,0.0
AUS,Oceania,Australia,2021,28433623.0,427797.0,5128042445.0
AUS,Oceania,Australia,2022,1732827245.0,2295349.0,13112698345.0
AUT,Europe,Austria,2020,21771909.0,438345.0,17229.0
AUT,Europe,Austria,2021,248771060.0,4607998.0,2611835330.0
AUT,Europe,Austria,2022,1040080516.0,5268411.0,5009852320.0
AZE,Asia,Azerbaijan,2020,12949032.0,161918.0,0.0
AZE,Asia,Azerbaijan,2021,137425851.0,1890518.0,1498175449.0
AZE,Asia,Azerbaijan,2022,211079212.0,2601050.0,2018435347.0
BDI,Africa,Burundi,2020,98813.0,276.0,0.0
BDI,Africa,Burundi,2021,3381532.0,6901.0,43964.0
BDI,Africa,Burundi,2022,11389571.0,10374.0,297287.0
BEL,Europe,Belgium,2020,53832033.0,2931202.0,2592.0
BEL,Europe,Belgium,2021,413103530.0,8947146.0,3700225002.0
BEL,Europe,Belgium,2022,1068796816.0,8511499.0,6811011968.0
BEN,Africa,Benin,2020,462136.0,7552.0,0.0
BEN,Africa,Benin,2021,4621800.0,40811.0,9328427.0
BEN,Africa,Benin,2022,7351356.0,44470.0,51117081.0
BES,North America,Bonaire Sint Eustatius and Saba,2020,17078.0,270.0,0.0
BES,North America,Bonaire Sint Eustatius and Saba,2021,538036.0,4907.0,43236.0
BES,North America,Bonaire Sint Eustatius and Saba,2022,2521864.0,9208.0,0.0
BFA,Africa,Burkina Faso,2020,486257.0,15425.0,0.0
BFA,Africa,Burkina Faso,2021,4887880.0,64865.0,4615730.0
BFA,Africa,Burkina Faso,2022,5685315.0,103398.0,44566899.0
BGD,Asia,Bangladesh,2020,68809478.0,968739.0,0.0
BGD,Asia,Bangladesh,2021,387483890.0,6492171.0,5820841311.0
BGD,Asia,Bangladesh,2022,527307450.0,7927902.0,23911693820.0
BGR,Europe,Bulgaria,2020,11095857.0,347789.0,6327.0
BGR,Europe,Bulgaria,2021,158912082.0,6554630.0,567377633.0
BGR,Europe,Bulgaria,2022,307640208.0,9902544.0,1079244083.0
BHR,Asia,Bahrain,2020,12929706.0,47269.0,471764.0
BHR,Asia,Bahrain,2021,79666732.0,371236.0,635439886.0
BHR,Asia,Bahrain,2022,153267696.0,402548.0,578641921.0
BHS,North America,Bahamas,2020,773606.0,17608.0,0.0
BHS,North America,Bahamas,2021,5349746.0,128764.0,5612746.0
BHS,North America,Bahamas,2022,9386737.0,216701.0,7137831.0
BIH,Europe,Bosnia and Herzegovina,2020,8049638.0,250835.0,0.0
BIH,Europe,Bosnia and Herzegovina,2021,73616221.0,3261988.0,11625114.0
BIH,Europe,Bosnia and Herzegovina,2022,101800031.0,4239040.0,1924950.0
BLR,Europe,Belarus,2020,20430958.0,172608.0,0.0
BLR,Europe,Belarus,2021,158661092.0,1192890.0,97746881.0
BLR,Europe,Belarus,2022,255513127.0,1849709.0,274532752.0
BLZ,North America,Belize,2020,574897.0,11440.0,0.0
BLZ,North America,Belize,2021,6261671.0,137666.0,16131099.0
BLZ,North America,Belize,2022,16180185.0,181007.0,17606844.0
BMU,North America,Bermuda,2020,51869.0,2304.0,0.0
BMU,North America,Bermuda,2021,1082821.0,16187.0,3047952.0
BMU,North America,Bermuda,2022,3856103.0,36359.0,2249425.0
BOL,South America,Bolivia,2020,22628496.0,1235173.0,0.0
BOL,South America,Bolivia,2021,144683491.0,5671149.0,1330732443.0
BOL,South America,Bolivia,2022,255042263.0,5921978.0,3103698686.0
BRA,South America,Brazil,2020,892348107.0,27108921.0,0.0
BRA,South America,Brazil,2021,6208408213.0,169575139.0,47441604401.0
BRA,South America,Brazil,2022,8341770740.0,180687868.0,95025274915.0
BRB,North America,Barbados,2020,45229.0,1837.0,0.0
BRB,North America,Barbados,2021,2925705.0,28140.0,52614352.0
BRB,North America,Barbados,2022,19911962.0,113412.0,71356315.0
BRN,Asia,Brunei,2020,41227.0,697.0,0.0
BRN,Asia,Brunei,2021,1448283.0,9529.0,52873708.0
BRN,Asia,Brunei,2022,37261852.0,52046.0,23120216.0
BTN,Asia,Bhutan,2020,53440.0,0.0,0.0
BTN,Asia,Bhutan,2021,674163.0,670.0,62526497.0
BTN,Asia,Bhutan,2022,11606052.0,4184.0,51011464.0
BWA,Africa,Botswana,2020,933952.0,3190.0,0.0
BWA,Africa,Botswana,2021,36852379.0,488116.0,15457468.0
BWA,Africa,Botswana,2022,80938445.0,732683.0,32529257.0
CAF,Africa,Central African Republic,2020,954949.0,11732.0,0.0
CAF,Africa,Central African Republic,2021,2996575.0,32247.0,3462359.0
CAF,Africa,Central African Republic,2022,3945820.0,30599.0,24589589.0
CAN,North America,Canada,2020,48459090.0,2402461.0,635354.0
CAN,North America,Canada,2021,491339089.0,9270925.0,12165823677.0
CAN,North America,Canada,2022,1006193192.0,10787648.0,22777255005.0
CHE,Europe,Switzerland,2020,28992018.0,694613.0,22692.0
CHE,Europe,Switzerland,2021,269227850.0,3883259.0,2367003132.0
CHE,Europe,Switzerland,2022,921500666.0,3694843.0,4077606936.0
CHL,South America,Chile,2020,92447449.0,2404918.0,22606.0
CHL,South America,Chile,2021,496405065.0,11113710.0,7925934450.0
CHL,South America,Chile,2022,970816694.0,14619428.0,14879671804.0
CHN,Asia,China,2020,28636380.0,1399137.0,6000000.0
CHN,Asia,China,2021,37622096.0,1692107.0,440076478700.0
CHN,Asia,China,2022,167384012.0,1356966.0,896401615000.0
CIV,Africa,Cote d'Ivoire,2020,3707614.0,23811.0,0.0
CIV,Africa,Cote d'Ivoire,2021,17668745.0,143866.0,191882621.0
CIV,Africa,Cote d'Ivoire,2022,22602487.0,217840.0,280785831.0
CMR,Africa,Cameroon,2020,4231941.0,88766.0,0.0
CMR,Africa,Cameroon,2021,26861187.0,432600.0,18860073.0
CMR,Africa,Cameroon,2022,32487745.0,524058.0,21155672.0
COD,Africa,Democratic Republic of Congo,2020,2237535.0,58666.0,0.0
COD,Africa,Democratic Republic of Congo,2021,15306360.0,330756.0,5616935.0
COD,Africa,Democratic Republic of Congo,2022,24136131.0,367757.0,45718155.0
COG,Africa,Congo,2020,896698.0,16479.0,0.0
COG,Africa,Congo,2021,4645968.0,68937.0,8653793.0
COG,Africa,Congo,2022,6581259.0,104316.0,7439301.0
COK,Oceania,Cook Islands,2021,254.0,0.0,209613.0
COK,Oceania,Cook Islands,2022,1040558.0,159.0,326914.0
COL,South America,Colombia,2020,155342636.0,4585410.0,0.0
COL,South America,Colombia,2021,1386140553.0,35427974.0,6473107773.0
COL,South America,Colombia,2022,1660543966.0,37939970.0,5984103820.0
COM,Africa,Comoros,2020,97295.0,1443.0,0.0
COM,Africa,Comoros,2021,1394169.0,49980.0,6438197.0
COM,Africa,Comoros,2022,2216467.0,43698.0,5409688.0
CPV,Africa,Cape Verde,2020,1221070.0,12418.0,0.0
CPV,Africa,Cape Verde,2021,10461284.0,94435.0,10971457.0
CPV,Africa,Cape Verde,2022,15781493.0,109419.0,16413190.0
CRI,North America,Costa Rica,2020,14509356.0,174561.0,55.0
CRI,North America,Costa Rica,2021,135938660.0,1720737.0,149941722.0
CRI,North America,Costa Rica,2022,241050727.0,2277219.0,281844818.0
CUB,North America,Cuba,2020,1201037.0,26652.0,0.0
CUB,North America,Cuba,2021,150524716.0,1230857.0,3608034877.0
CUB,North America,Cuba,2022,296573339.0,2320012.0,8986374217.0
CUW,North America,Curacao,2020,188374.0,624.0,0.0
CUW,North America,Curacao,2021,4463262.0,40664.0,33405461.0
CUW,North America,Curacao,2022,11342126.0,72782.0,51664383.0
CYM,North America,Cayman Islands,2020,53471.0,337.0,0.0
CYM,North America,Cayman Islands,2021,564592.0,980.0,7540571.0
CYM,North America,Cayman Islands,2022,6348791.0,6712.0,3580974.0
CYP,Europe,Cyprus,2020,987129.0,7726.0,0.0
CYP,Europe,Cyprus,2021,31056285.0,145737.0,120796303.0
CYP,Europe,Cyprus,2022,122121357.0,269959.0,64104292.0
CZE,Europe,Czechia,2020,40948971.0,600899.0,34403.0
CZE,Europe,Czechia,2021,588519244.0,10127999.0,2670304892.0
CZE,Europe,Czechia,2022,1016937196.0,10814719.0,4778215199.0
DEU,Europe,Germany,2020,114597958.0,2890884.0,522483.0
DEU,Europe,Germany,2021,1375831810.0,30901985.0,24783172333.0
DEU,Europe,Germany,2022,6349562179.0,36714800.0,48385148893.0
DJI,Africa,Djibouti,2020,1201333.0,12519.0,0.0
DJI,Africa,Djibouti,2021,3876705.0,49570.0,427293.0
DJI,Africa,Djibouti,2022,4241497.0,51597.0,5656161.0
DMA,North America,Dominica,2020,9215.0,0.0,0.0
DMA,North America,Dominica,2021,626797.0,3493.0,1990239.0
DMA,North America,Dominica,2022,3469521.0,17083.0,2664106.0
DNK,Europe,Denmark,2020,9213600.0,176879.0,83975.0
DNK,Europe,Denmark,2021,116156483.0,917611.0,1880582507.0
DNK,Europe,Denmark,2022,777552953.0,1576724.0,3560215762.0
DOM,North America,Dominican Republic,2020,21166725.0,380121.0,0.0
DOM,North America,Dominican Republic,2021,113645275.0,1331819.0,2412532510.0
DOM,North America,Dominican Republic,2022,160519282.0,1191289.0,3734423617.0
DZA,Africa,Algeria,2020,10583375.0,377806.0,0.0
DZA,Africa,Algeria,2021,57172988.0,1563862.0,185173738.0
DZA,Africa,Algeria,2022,71603782.0,1858657.0,113223518.0
ECU,South America,Ecuador,2020,28245590.0,2063529.0,0.0
ECU,South America,Ecuador,2021,154089017.0,8959876.0,3572274116.0
ECU,South America,Ecuador,2022,237153462.0,9667321.0,7753249019.0
EGY,Africa,Egypt,2020,21009479.0,1137521.0,0.0
EGY,Africa,Egypt,2021,96168737.0,5525740.0,913304235.0
EGY,Africa,Egypt,2022,134917905.0,6617405.0,3106073683.0
ERI,Africa,Eritrea,2020,86376.0,12.0,0.0
ERI,Africa,Eritrea,2021,1860123.0,10066.0,0.0
ERI,Africa,Eritrea,2022,2658894.0,27598.0,0.0
ESH,Africa,Western Sahara,2022,0.0,0.0,0.0
ESP,Europe,Spain,2020,186518146.0,8720097.0,0.0
ESP,Europe,Spain,2021,1480287973.0,28644917.0,9495335623.0
ESP,Europe,Spain,2022,3223589895.0,28520260.0,6793523799.0
EST,Europe,Estonia,2020,1357875.0,20833.0,5940.0
EST,Europe,Estonia,2021,48325161.0,425939.0,318140186.0
EST,Europe,Estonia,2022,143662781.0,668616.0,531369678.0
ETH,Africa,Ethiopia,2020,12832683.0,200308.0,0.0
ETH,Africa,Ethiopia,2021,98832178.0,1582711.0,906186806.0
ETH,Africa,Ethiopia,2022,130111720.0,2040980.0,975549068.0
FIN,Europe,Finland,2020,3297517.0,91124.0,0.0
FIN,Europe,Finland,2021,40428766.0,375136.0,275477758.0
FIN,Europe,Finland,2022,259920324.0,1078860.0,887719088.0
FJI,Oceania,Fiji,2020,7650.0,281.0,0.0
FJI,Oceania,Fiji,2021,8093597.0,94968.0,25060921.0
FJI,Oceania,Fiji,2022,17721496.0,230426.0,51058476.0
FLK,South America,Falkland Islands,2020,3760.0,0.0,0.0
FLK,South America,Falkland Islands,2021,22767.0,0.0,14163.0
FLK,South America,Falkland Islands,2022,269503.0,0.0,0.0
FRA,Europe,France,2020,207934224.0,9279304.0,8264.0
FRA,Europe,France,2021,2132204242.0,38332112.0,20277183988.0
FRA,Europe,France,2022,7558339757.0,39521524.0,39073985228.0
FRO,Europe,Faeroe Islands,2020,95066.0,0.0,0.0
FRO,Europe,Faeroe Islands,2021,489078.0,1065.0,6373912.0
FRO,Europe,Faeroe Islands,2022,8566401.0,7120.0,2238111.0
FSM,Oceania,Micronesia (country),2021,345.0,0.0,0.0
FSM,Oceania,Micronesia (country),2022,526177.0,1469.0,0.0
GAB,Africa,Gabon,2020,1710711.0,11246.0,0.0
GAB,Africa,Gabon,2021,9035646.0,59056.0,5321627.0
GAB,Africa,Gabon,2022,12991077.0,82838.0,7784339.0
GBR,Europe,United Kingdom,2020,172995588.0,15809047.0,0.0
GBR,Europe,United Kingdom,2021,2235647104.0,56485698.0,24940487148.0
GBR,Europe,United Kingdom,2022,5760595293.0,53561664.0,35803459866.0
GEO,Asia,Georgia,2020,9272618.0,88764.0,0.0
GEO,Asia,Georgia,2021,169867566.0,2355374.0,171113025.0
GEO,Asia,Georgia,2022,431080552.0,4480083.0,304255296.0
GGY,Europe,Guernsey,2021,0.0,0.0,7302946.0
GGY,Europe,Guernsey,2022,0.0,0.0,2998038.0
GHA,Africa,Ghana,2020,8669957.0,53074.0,0.0
GHA,Africa,Ghana,2021,37441079.0,315598.0,52155239.0
GHA,Africa,Ghana,2022,44328916.0,391997.0,287830714.0
GIB,Europe,Gibraltar,2020,120034.0,237.0,0.0
GIB,Europe,Gibraltar,2021,1832553.0,32874.0,13247833.0
GIB,Europe,Gibraltar,2022,4731838.0,28122.0,5666906.0
GIN,Africa,Guinea,2020,2144527.0,12892.0,0.0
GIN,Africa,Guinea,2021,8821012.0,83209.0,145795776.0
GIN,Africa,Guinea,2022,10011704.0,119639.0,184661528.0
GMB,Africa,Gambia,2020,505978.0,16217.0,0.0
GMB,Africa,Gambia,2021,2640777.0,84175.0,5046012.0
GMB,Africa,Gambia,2022,3267525.0,99396.0,3060626.0
GNB,Africa,Guinea-Bissau,2020,486983.0,7413.0,0.0
GNB,Africa,Guinea-Bissau,2021,1655360.0,32737.0,5498680.0
GNB,Africa,Guinea-Bissau,2022,2224519.0,45956.0,12577395.0
GNQ,Africa,Equatorial Guinea,2020,939924.0,15300.0,0.0
GNQ,Africa,Equatorial Guinea,2021,3362406.0,45497.0,21194380.0
GNQ,Africa,Equatorial Guinea,2022,4398088.0,49785.0,5688190.0
GRC,Europe,Greece,2020,7976094.0,208444.0,5585.0
GRC,Europe,Greece,2021,178169336.0,4398618.0,2729717145.0
GRC,Europe,Greece,2022,916144755.0,7800537.0,5620866011.0
GRD,North America,Grenada,2020,8306.0,0.0,0.0
GRD,North America,Grenada,2021,667105.0,19735.0,1864603.0
GRD,North America,Grenada,2022,4326003.0,60966.0,4395070.0
GRL,North America,Greenland,2020,4095.0,0.0,0.0
GRL,North America,Greenland,2021,143546.0,5.0,5053497.0
GRL,North America,Greenland,2022,3103133.0,4834.0,1112584.0
GTM,North America,Guatemala,2020,16509082.0,587281.0,0.0
GTM,North America,Guatemala,2021,131573540.0,3701568.0,1197688182.0
GTM,North America,Guatemala,2022,241073622.0,4899225.0,1442850320.0
GUM,Oceania,Guam,2020,0.0,0.0,0.0
GUM,Oceania,Guam,2021,0.0,0.0,0.0
GUM,Oceania,Guam,2022,0.0,0.0,0.0
GUY,South America,Guyana,2020,548708.0,16383.0,0.0
GUY,South America,Guyana,2021,7735365.0,190548.0,40454333.0
GUY,South America,Guyana,2022,17587280.0,335043.0,36577120.0
HKG,Asia,Hong Kong,2020,1016412.0,16241.0,0.0
HKG,Asia,Hong Kong,2021,4269810.0,74875.0,1632121626.0
HKG,Asia,Hong Kong,2022,274736184.0,1884987.0,4197267269.0
HND,North America,Honduras,2020,14412084.0,412628.0,0.0
HND,North America,Honduras,2021,98465666.0,2598055.0,144911135.0
HND,North America,Honduras,2022,115609573.0,2956031.0,429102624.0
HRV,Europe,Croatia,2020,9921974.0,156885.0,7864.0
HRV,Europe,Croatia,2021,136540739.0,2852144.0,699589676.0
HRV,Europe,Croatia,2022,300046009.0,4254806.0,1306231506.0
HTI,North America,Haiti,2020,1695905.0,40688.0,0.0
HTI,North America,Haiti,2021,6562333.0,167474.0,2914453.0
HTI,North America,Haiti,2022,8484869.0,226215.0,8432106.0
HUN,Europe,Hungary,2020,15561117.0,452473.0,1094.0
HUN,Europe,Hungary,2021,276202001.0,9635417.0,585477068.0
HUN,Europe,Hungary,2022,504262405.0,12374261.0,290008628.0
IDN,Asia,Indonesia,2020,60573725.0,2148683.0,0.0
IDN,Asia,Indonesia,2021,987820633.0,30620691.0,29894816962.0
IDN,Asia,Indonesia,2022,1580923444.0,41976003.0,42303277435.0
IMN,Europe,Isle of Man,2020,91971.0,6144.0,0.0
IMN,Europe,Isle of Man,2021,1657926.0,13841.0,18423449.0
IMN,Europe,Isle of Man,2022,8410360.0,26430.0,10814615.0
IND,Asia,India,2020,1084280238.0,17171598.0,0.0
IND,Asia,India,2021,9215075561.0,121382644.0,174118546779.0
IND,Asia,India,2022,11684744673.0,141513673.0,500991670770.0
IRL,Europe,Ireland,2020,10464787.0,460986.0,4423.0
IRL,Europe,Ireland,2021,119447207.0,1758645.0,1583236671.0
IRL,Europe,Ireland,2022,401339849.0,1936570.0,2897413619.0
IRN,Asia,Iran,2020,117905811.0,6222225.0,0.0
IRN,Asia,Iran,2021,1338958417.0,33112629.0,2078246909.0
IRN,Asia,Iran,2022,1945813527.0,38152683.0,15934495878.0
IRQ,Asia,Iraq,2020,64618779.0,1623028.0,0.0
IRQ,Asia,Iraq,2021,512717853.0,6615129.0,247479048.0
IRQ,Asia,Iraq,2022,637523914.0,6845949.0,679558282.0
ISL,Europe,Iceland,2020,807858.0,3666.0,4875.0
ISL,Europe,Iceland,2021,3491173.0,11314.0,37182593.0
ISL,Europe,Iceland,2022,44847001.0,35092.0,14755116.0
ISR,Asia,Israel,2020,41522946.0,339051.0,4426127.0
ISR,Asia,Israel,2021,353426300.0,2418498.0,4172696799.0
ISR,Asia,Israel,2022,1068532865.0,2883156.0,4863466145.0
ITA,Europe,Italy,2020,151300759.0,10582442.0,81803.0
ITA,Europe,Italy,2021,1490063177.0,43595671.0,18370348538.0
ITA,Europe,Italy,2022,4511226328.0,44455942.0,36832557385.0
JAM,North America,Jamaica,2020,1150061.0,23679.0,0.0
JAM,North America,Jamaica,2021,20198276.0,452353.0,89718808.0
JAM,North America,Jamaica,2022,36796385.0,814727.0,243436704.0
JEY,Europe,Jersey,2021,0.0,0.0,10051869.0
JEY,Europe,Jersey,2022,0.0,0.0,9877041.0
JOR,Asia,Jordan,2020,14090920.0,172825.0,0.0
JOR,Asia,Jordan,2021,257029091.0,3233166.0,1099634600.0
JOR,Asia,Jordan,2022,440590855.0,3789636.0,223936089.0
JPN,Asia,Japan,2020,18466972.0,364142.0,0.0
JPN,Asia,Japan,2021,366702687.0,4811180.0,29917294776.0
JPN,Asia,Japan,2022,2542439183.0,8096922.0,73161621148.0
KAZ,Asia,Kazakhstan,2020,25709515.0,342310.0,0.0
KAZ,Asia,Kazakhstan,2021,222471797.0,3598679.0,2571702082.0
KAZ,Asia,Kazakhstan,2022,378404475.0,5163568.0,1013726848.0
KEN,Africa,Kenya,2020,8885496.0,158497.0,0.0
KEN,Africa,Kenya,2021,68330475.0,1320390.0,657813060.0
KEN,Africa,Kenya,2022,89465565.0,1538620.0,1157025054.0
KGZ,Asia,Kyrgyzstan,2020,9377529.0,204465.0,0.0
KGZ,Asia,Kyrgyzstan,2021,48817368.0,754553.0,223148969.0
KGZ,Asia,Kyrgyzstan,2022,54798753.0,809397.0,761203827.0
KHM,Asia,Cambodia,2020,63394.0,0.0,0.0
KHM,Asia,Cambodia,2021,20812497.0,424061.0,4292827161.0
KHM,Asia,Cambodia,2022,36403843.0,831657.0,4386180718.0
KIR,Oceania,Kiribati,2021,453.0,0.0,419695.0
KIR,Oceania,Kiribati,2022,755111.0,2925.0,1342878.0
KNA,North America,Saint Kitts and Nevis,2020,4941.0,0.0,0.0
KNA,North America,Saint Kitts and Nevis,2021,345130.0,2727.0,2428713.0
KNA,North America,Saint Kitts and Nevis,2022,1580244.0,11425.0,696964.0
KOR,Asia,South Korea,2020,6015621.0,104652.0,0.0
KOR,Asia,South Korea,2021,80313690.0,829654.0,11676389257.0
KOR,Asia,South Korea,2022,3888240350.0,5250084.0,33358216693.0
KWT,Asia,Kuwait,2020,20839943.0,132226.0,2500.0
KWT,Asia,Kuwait,2021,117835236.0,686533.0,73963780.0
KWT,Asia,Kuwait,2022,168565126.0,694546.0,343383130.0
LAO,Asia,Laos,2020,6474.0,0.0,0.0
LAO,Asia,Laos,2021,6702447.0,13810.0,125490690.0
